SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
380	29083409	pubmed	Meyers RM (2017)	196-PMID29083409	17670	17670	Yes	1663	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H520	Non-Small Cell Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
381	29083409	pubmed	Meyers RM (2017)	197-PMID29083409	17670	17670	Yes	1600	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H716	Cecum Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
382	29083409	pubmed	Meyers RM (2017)	198-PMID29083409	17670	17670	Yes	1823	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H747	Colonic Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
383	29083409	pubmed	Meyers RM (2017)	199-PMID29083409	17670	17670	Yes	1977	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H838	Lung Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
384	29083409	pubmed	Meyers RM (2017)	200-PMID29083409	17670	17670	Yes	1853	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H1299	Non-Small Cell Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
385	29083409	pubmed	Meyers RM (2017)	201-PMID29083409	17670	17670	Yes	2234	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H1437	Lung Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
386	29083409	pubmed	Meyers RM (2017)	202-PMID29083409	17670	17670	Yes	2143	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H1581	Non-Small Cell Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
387	29083409	pubmed	Meyers RM (2017)	203-PMID29083409	17670	17670	Yes	1742	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H1650	Lung Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
388	29083409	pubmed	Meyers RM (2017)	204-PMID29083409	17670	17670	Yes	1749	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H1693	Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
389	29083409	pubmed	Meyers RM (2017)	205-PMID29083409	17670	17670	Yes	2211	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H1703	Non-Small Cell Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
390	29083409	pubmed	Meyers RM (2017)	206-PMID29083409	17670	17670	Yes	1966	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H1792	Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
391	29083409	pubmed	Meyers RM (2017)	207-PMID29083409	17670	17670	Yes	2043	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H1944	Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
392	29083409	pubmed	Meyers RM (2017)	208-PMID29083409	17670	17670	Yes	2108	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2023	Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
393	29083409	pubmed	Meyers RM (2017)	209-PMID29083409	17670	17670	Yes	1775	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2030	Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
394	29083409	pubmed	Meyers RM (2017)	210-PMID29083409	17670	17670	Yes	1865	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2087	Lung Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
395	29083409	pubmed	Meyers RM (2017)	211-PMID29083409	17670	17670	Yes	1724	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2110	Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
396	29083409	pubmed	Meyers RM (2017)	212-PMID29083409	17670	17670	Yes	1894	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2122	Non-Small Cell Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
397	29083409	pubmed	Meyers RM (2017)	213-PMID29083409	17670	17670	Yes	1666	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2126	Lung Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
398	29083409	pubmed	Meyers RM (2017)	214-PMID29083409	17670	17670	Yes	1713	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2170	Lung Squamous Cell Carcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
399	29083409	pubmed	Meyers RM (2017)	215-PMID29083409	17670	17670	Yes	2199	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2172	Lung Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
400	29083409	pubmed	Meyers RM (2017)	216-PMID29083409	17670	17670	Yes	1738	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-H2291	Lung Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
401	29083409	pubmed	Meyers RM (2017)	217-PMID29083409	17670	17670	Yes	1286	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NCI-N87	Gastric Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
402	29083409	pubmed	Meyers RM (2017)	218-PMID29083409	17670	17670	Yes	1638	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NOMO-1	Acute Myeloid Leukemia Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
403	29083409	pubmed	Meyers RM (2017)	219-PMID29083409	17670	17670	Yes	2238	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	NUGC-3	Gastric Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
404	29083409	pubmed	Meyers RM (2017)	220-PMID29083409	17670	17670	Yes	2104	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OAW28	Ovary Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
405	28775154	pubmed	Stewart SE (2017)	1-PMID28775154	20916	20916	Yes	1174	RSA	Score Significance	Score.1 (Log10 (p-value)) > 1.3	High Throughput	Phenotype Screen	Pool	Timecourse	21 Days	-	-	~ 0.2	GECKO v2	CRISPRn	Knockout	Cas9	HeLa	Cervical Adenocarcinoma Cell Line	protein/peptide distribution	1	Log10 (p-value)	-	-	-	-	9606	H. sapiens	Authors screened for genes  required for cell surface localization of Gal-3.	BioGRID ORCS	Regulators or GAL3 surface localization
406	29083409	pubmed	Meyers RM (2017)	221-PMID29083409	17670	17670	Yes	2060	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OE-21	Esophageal Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
407	29083409	pubmed	Meyers RM (2017)	222-PMID29083409	17670	17670	Yes	1859	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OE-33	Esophageal Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
408	29083409	pubmed	Meyers RM (2017)	223-PMID29083409	17670	17670	Yes	1839	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	ONS-76	Medulloblastoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
409	29083409	pubmed	Meyers RM (2017)	224-PMID29083409	17670	17670	Yes	1879	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OS-RC-2	Renal Cell Carcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
410	29083409	pubmed	Meyers RM (2017)	225-PMID29083409	17670	17670	Yes	1912	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OUMS-23	Colonic Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
411	29083409	pubmed	Meyers RM (2017)	226-PMID29083409	17670	17670	Yes	1597	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OV7	Ovarian Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
412	29083409	pubmed	Meyers RM (2017)	227-PMID29083409	17670	17670	Yes	2128	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OV-90	Ovary Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
413	29083409	pubmed	Meyers RM (2017)	228-PMID29083409	17670	17670	Yes	2159	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OVCA-8	Ovarian Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
414	29083409	pubmed	Meyers RM (2017)	229-PMID29083409	17670	17670	Yes	2211	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OVISE	Ovary Adenocarcinoma Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
415	29083409	pubmed	Meyers RM (2017)	230-PMID29083409	17670	17670	Yes	2128	CERES	Score Significance	Score.2 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	< 1	Avana	CRISPRn	Knockout	Cas9	OVK-18 (RCB1903)	Ovarian Cancer Cell Line	cell proliferation	2	CERES score	FDR	-	-	-	9606	H. sapiens	To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.	BioGRID ORCS	Cell-essential genes
